symbol;name;sector
NOVO B;NOVO NORDISK CLASS B;Health Care
ASML;ASML HOLDING NV;Information Technology
NESN;NESTLE SA;Consumer Staples
AZN;ASTRAZENECA PLC;Health Care
SHELL;SHELL PLC;Energy
SAP;SAP;Information Technology
MC;LVMH;Consumer Discretionary
NOVN;NOVARTIS AG;Health Care
ROG;ROCHE HOLDING PAR AG;Health Care
TTE;TOTALENERGIES;Energy
HSBA;HSBC HOLDINGS PLC;Financials
SU;SCHNEIDER ELECTRIC;Industrials
SIE;SIEMENS N AG;Industrials
ULVR;UNILEVER PLC;Consumer Staples
OR;LOREAL SA;Consumer Staples
ALV;ALLIANZ;Financials
SAN;SANOFI SA;Health Care
BP.;BP PLC;Energy
AI;LAIR LIQUIDE SOCIETE ANONYME POUR;Materials
AIR;AIRBUS GROUP;Industrials
UBSG;UBS GROUP AG;Financials
GSK;GLAXOSMITHKLINE;Health Care
SAF;SAFRAN SA;Industrials
ABBN;ABB LTD;Industrials
REL;RELX PLC;Industrials
CFR;COMPAGNIE FINANCIERE RICHEMONT SA;Consumer Discretionary
RMS;HERMES INTERNATIONAL;Consumer Discretionary
DTE;DEUTSCHE TELEKOM N AG;Communication
SAN;BANCO SANTANDER SA;Financials
BNP;BNP PARIBAS SA;Financials
IBE;IBERDROLA SA;Utilities
RIO;RIO TINTO PLC;Materials
DGE;DIAGEO PLC;Consumer Staples
ZURN;ZURICH INSURANCE GROUP AG;Financials
DG;VINCI SA;Industrials
CS;AXA SA;Financials
EL;ESSILORLUXOTTICA SA;Health Care
MUV2;MUENCHENER RUECKVERSICHERUNGS-GESE;Financials
UCG;UNICREDIT;Financials
EUR;EUR CASH;Cash and/or Derivatives
BBVA;BANCO BILBAO VIZCAYA ARGENTARIA SA;Financials
ISP;INTESA SANPAOLO;Financials
GLEN;GLENCORE PLC;Materials
BATS;BRITISH AMERICAN TOBACCO;Consumer Staples
ABI;ANHEUSER-BUSCH INBEV SA;Consumer Staples
INGA;ING GROEP NV;Financials
MBG;MERCEDES-BENZ GROUP N AG;Consumer Discretionary
CRH;CRH PUBLIC LIMITED PLC;Materials
PRX;PROSUS NV;Consumer Discretionary
ENEL;ENEL;Utilities
LSEG;LONDON STOCK EXCHANGE GROUP PLC;Financials
IFX;INFINEON TECHNOLOGIES AG;Information Technology
ITX;INDUSTRIA DE DISENO TEXTIL INDITEX;Consumer Discretionary
BA.;BAE SYSTEMS PLC;Industrials
STLAM;STELLANTIS NV;Consumer Discretionary
CPG;COMPASS GROUP PLC;Consumer Discretionary
ATCO A;ATLAS COPCO CLASS A;Industrials
INVE B;INVESTOR CLASS B;Financials
RACE;FERRARI NV;Consumer Discretionary
RR.;ROLLS-ROYCE HOLDINGS PLC;Industrials
SIKA;SIKA AG;Materials
BAS;BASF N;Materials
HOLN;HOLCIM LTD AG;Materials
SGO;COMPAGNIE DE SAINT GOBAIN SA;Industrials
LLOY;LLOYDS BANKING GROUP PLC;Financials
ALC;ALCON AG;Health Care
EXPN;EXPERIAN PLC;Industrials
VOLV B;VOLVO CLASS B;Industrials
NDA FI;NORDEA BANK;Financials
NG.;NATIONAL GRID PLC;Utilities
LONN;LONZA GROUP AG;Health Care
BARC;BARCLAYS PLC;Financials
AAL;ANGLO AMERICAN PLC;Materials
RKT;RECKITT BENCKISER GROUP PLC;Consumer Staples
BN;DANONE SA;Consumer Staples
DHL;DEUTSCHE POST AG;Industrials
WKL;WOLTERS KLUWER NV;Industrials
ADS;ADIDAS N AG;Consumer Discretionary
CAP;CAPGEMINI;Information Technology
ADYEN;ADYEN NV;Financials
DB1;DEUTSCHE BOERSE AG;Financials
GIVN;GIVAUDAN SA;Materials
III;3I GROUP PLC;Financials
FLTR;FLUTTER ENTERTAINMENT PLC;Consumer Discretionary
SREN;SWISS RE AG;Financials
DBK;DEUTSCHE BANK AG;Financials
ENI;ENI;Energy
AHT;ASHTEAD GROUP PLC;Industrials
AMS;AMADEUS IT GROUP SA;Consumer Discretionary
ENGI;ENGIE SA;Utilities
RI;PERNOD RICARD SA;Consumer Staples
ASM;ASM INTERNATIONAL NV;Information Technology
