symbo;name;sector
700;TENCENT HOLDINGS LTD;Communication
9988;ALIBABA GROUP HOLDING LTD;Consumer Discretionary
PDD;PDD HOLDINGS ADS INC;Consumer Discretionary
3690;MEITUAN;Consumer Discretionary
939;CHINA CONSTRUCTION BANK CORP H;Financials
3988;BANK OF CHINA LTD H;Financials
1398;INDUSTRIAL AND COMMERCIAL BANK OF;Financials
1810;XIAOMI CORP;Information Technology
2318;PING AN INSURANCE (GROUP) CO OF CH;Financials
9618;JD.COM CLASS A INC;Consumer Discretionary
9999;NETEASE INC;Communication
9961;TRIP.COM GROUP LTD;Consumer Discretionary
9888;BAIDU CLASS A INC;Communication
1211;BYD LTD H;Consumer Discretionary
857;PETROCHINA LTD H;Energy
3968;CHINA MERCHANTS BANK LTD H;Financials
600519;KWEICHOW MOUTAI LTD A;Consumer Staples
1024;KUAISHOU TECHNOLOGY;Communication
386;CHINA PETROLEUM AND CHEMICAL CORP;Energy
1088;CHINA SHENHUA ENERGY LTD H;Energy
YUMC;YUM CHINA HOLDINGS INC;Consumer Discretionary
2020;ANTA SPORTS PRODUCTS LTD;Consumer Discretionary
1288;AGRICULTURAL BANK OF CHINA LTD H;Financials
2899;ZIJIN MINING GROUP LTD H;Materials
1109;CHINA RESOURCES LAND LTD;Real Estate
992;LENOVO GROUP LTD;Information Technology
2015;LI AUTO CLASS A INC;Consumer Discretionary
9901;NEW ORIENTAL EDUCATION & TECHNOLOG;Consumer Discretionary
9633;NONGFU SPRING LTD H;Consumer Staples
2628;CHINA LIFE INSURANCE LTD H;Financials
TME;TENCENT MUSIC ENTERTAINMENT GROUP;Communication
BEKE;KE HOLDINGS ADR REPRESENTING INC;Real Estate
ZTO;ZTO EXPRESS CAYMAN ADR REPRESENTIN;Industrials
6690;HAIER SMART HOME CLASS H LTD H;Consumer Discretionary
2328;PICC PROPERTY AND CASUALTY LTD H;Financials
2313;SHENZHOU INTERNATIONAL GROUP LTD;Consumer Discretionary
6160;BEIGENE LTD;Health Care
1093;CSPC PHARMACEUTICAL GROUP LTD;Health Care
688;CHINA OVERSEAS LAND INVESTMENT LTD;Real Estate
175;GEELY AUTOMOBILE HOLDINGS LTD;Consumer Discretionary
2688;ENN ENERGY HOLDINGS LTD;Utilities
