symbol;name;sector
2330;TAIWAN SEMICONDUCTOR MANUFACTURING;Information Technology
700;TENCENT HOLDINGS LTD;Communication
CNYA;ISH MSCI CHINA A ETF USD ACC;Financials
005930;SAMSUNG ELECTRONICS LTD;Information Technology
4BRZ;ISHARES MSCI BRAZIL UCITS ET USDHA;Financials
9988;ALIBABA GROUP HOLDING LTD;Consumer Discretionary
RELIANCE;RELIANCE INDUSTRIES LTD;Energy
PDD;PDD HOLDINGS ADS INC;Consumer Discretionary
000660;SK HYNIX INC;Information Technology
3690;MEITUAN;Consumer Discretionary
2317;HON HAI PRECISION INDUSTRY LTD;Information Technology
939;CHINA CONSTRUCTION BANK CORP H;Financials
ICICIBC;ICICI BANK LTD;Financials
2454;MEDIATEK INC;Information Technology
INFY;INFOSYS LTD;Information Technology
HDFCB;HDFC BANK LTD;Financials
TCS;TATA CONSULTANCY SERVICES LTD;Information Technology
1120;AL RAJHI BANK;Financials
3988;BANK OF CHINA LTD H;Financials
1398;INDUSTRIAL AND COMMERCIAL BANK OF;Financials
NPN;NASPERS LIMITED N LTD;Consumer Discretionary
005935;SAMSUNG ELECTRONICS NON VOTING PRE;Information Technology
BHARTIARTL;BHARTI AIRTEL LTD;Communication
2318;PING AN INSURANCE (GROUP) CO OF CH;Financials
1810;XIAOMI CORP;Information Technology
9618;JD.COM CLASS A INC;Consumer Discretionary
9999;NETEASE INC;Communication
AXISBANK;AXIS BANK LTD;Financials
BBCA;BANK CENTRAL ASIA;Financials
LT;LARSEN AND TOUBRO LTD;Industrials
9961;TRIP.COM GROUP LTD;Consumer Discretionary
M&M;MAHINDRA AND MAHINDRA LTD;Consumer Discretionary
9888;BAIDU CLASS A INC;Communication
1211;BYD LTD H;Consumer Discretionary
005380;HYUNDAI MOTOR;Consumer Discretionary
1180;THE SAUDI NATIONAL BANK;Financials
GFNORTEO;GPO FINANCE BANORTE;Financials
2382;QUANTA COMPUTER INC;Information Technology
HINDUNILVR;HINDUSTAN UNILEVER LTD;Consumer Staples
000270;KIA CORPORATION CORP;Consumer Discretionary
BAJFINANCE;BAJAJ FINANCE LTD;Financials
FEMSAUBD;FOMENTO ECONOMICO MEXICANO;Consumer Staples
KOTAKBANK;KOTAK MAHINDRA BANK LTD;Financials
KFH;KUWAIT FINANCE HOUSE;Financials
NBK;NATIONAL BANK OF KUWAIT;Financials
MARUTI;MARUTI SUZUKI INDIA LTD;Consumer Discretionary
857;PETROCHINA LTD H;Energy
105560;KB FINANCIAL GROUP INC;Financials
VALE3;CIA VALE DO RIO DOCE SH;Materials
2222;SAUDI ARABIAN OIL;Energy
2308;DELTA ELECTRONICS INC;Information Technology
