symbol;name;sector
MSFT;MICROSOFT CORP;Information Technology
AAPL;APPLE INC;Information Technology
NVDA;NVIDIA CORP;Information Technology
AMZN;AMAZON COM INC;Consumer Discretionary
META;META PLATFORMS INC CLASS A;Communication
GOOGL;ALPHABET INC CLASS A;Communication
GOOG;ALPHABET INC CLASS C;Communication
LLY;ELI LILLY;Health Care
AVGO;BROADCOM INC;Information Technology
JPM;JPMORGAN CHASE & CO;Financials
BRKB;BERKSHIRE HATHAWAY INC CLASS B;Financials
XOM;EXXON MOBIL CORP;Energy
TSLA;TESLA INC;Consumer Discretionary
UNH;UNITEDHEALTH GROUP INC;Health Care
NOVO B;NOVO NORDISK CLASS B;Health Care
V;VISA INC CLASS A;Financials
PG;PROCTER & GAMBLE;Consumer Staples
ASML;ASML HOLDING NV;Information Technology
MA;MASTERCARD INC CLASS A;Financials
COST;COSTCO WHOLESALE CORP;Consumer Staples
JNJ;JOHNSON & JOHNSON;Health Care
MRK;MERCK & CO INC;Health Care
HD;HOME DEPOT INC;Consumer Discretionary
WMT;WALMART INC;Consumer Staples
NFLX;NETFLIX INC;Communication
BAC;BANK OF AMERICA CORP;Financials
CVX;CHEVRON CORP;Energy
ABBV;ABBVIE INC;Health Care
NESN;NESTLE SA;Consumer Staples
AMD;ADVANCED MICRO DEVICES INC;Information Technology
CRM;SALESFORCE INC;Information Technology
KO;COCA-COLA;Consumer Staples
PEP;PEPSICO INC;Consumer Staples
AZN;ASTRAZENECA PLC;Health Care
QCOM;QUALCOMM INC;Information Technology
7203;TOYOTA MOTOR CORP;Consumer Discretionary
SHEL;SHELL PLC;Energy
MC;LVMH;Consumer Discretionary
TMO;THERMO FISHER SCIENTIFIC INC;Health Care
WFC;WELLS FARGO;Financials
ADBE;ADOBE INC;Information Technology
LIN;LINDE PLC;Materials
NOVN;NOVARTIS AG;Health Care
SAP;SAP;Information Technology
ORCL;ORACLE CORP;Information Technology
CSCO;CISCO SYSTEMS INC;Information Technology
ACN;ACCENTURE PLC CLASS A;Information Technology
DIS;WALT DISNEY;Communication
MCD;MCDONALDS CORP;Consumer Discretionary
DHR;DANAHER CORP;Health Care
AMAT;APPLIED MATERIAL INC;Information Technology
GE;GE AEROSPACE;Industrials
ABT;ABBOTT LABORATORIES;Health Care
TXN;TEXAS INSTRUMENT INC;Information Technology
ROG;ROCHE HOLDING PAR AG;Health Care
