symbol;name;sector
71N;NISSUI CORP.;Fishery
V8W;INPEX CORP.;Mining
CS7;COMSYS HOLDINGS CORP.;Construction
TKK;TAISEI CORP.;Construction
OBA;OBAYASHI CORP.;Construction
XSZ;SHIMIZU CORP.;Construction
HSSKY;HASEKO CORP.;Construction
KAJ;KAJIMA CORP.;Construction
DWH;DAIWA HOUSE IND. CO., LTD.;Construction
SKHSY;SEKISUI HOUSE, LTD.;Construction
VJC;JGC HOLDINGS CORP.;Construction
NFR;NISSHIN SEIFUN GROUP INC.;Foods
3M00;MEIJI HOLDINGS CO., LTD.;Foods
NI6;NH FOODS LTD.;Foods
4YC;M3, INC.;Services
D2N;DENA CO., LTD.;Services
SBW;SAPPORO HOLDINGS LTD.;Foods
ABW;ASAHI GROUP HOLDINGS, LTD.;Foods
KNBWF;KIRIN HOLDINGS CO., LTD.;Foods
XEB;SOJITZ CORP.;Trading Companies
KIK;KIKKOMAN CORP.;Foods
2802N;AJINOMOTO CO., INC.;Foods
NI3;NICHIREI CORP.;Foods
JATA;JAPAN TOBACCO INC.;Foods
JFROF;J.FRONT RETAILING CO., LTD.;Retail
SRTTY;ZOZO, INC.;Retail
IMHDF;ISETAN MITSUKOSHI HOLDINGS LTD.;Retail
T8F;TOKYU FUDOSAN HOLDINGS CORP.;Real Estate
S6MA;SEVEN & I HOLDINGS CO., LTD.;Retail
TINLF;TEIJIN LTD.;Textiles & Apparel
TRYIF;TORAY INDUSTRIES, INC.;Textiles & Apparel
KURRF;KURARAY CO., LTD.;Chemicals
ASA;ASAHI KASEI CORP.;Chemicals
SUOPY;SUMCO CORP.;Nonferrous Metals
3659N;NEXON CO., LTD.;Services
OJIPY;OJI HOLDINGS CORP.;Pulp & Paper
NIJPF;NIPPON PAPER INDUSTRIES CO., LTD.;Pulp & Paper
SWD;RESONAC HOLDINGS CORP.;Chemicals
SMM;SUMITOMO CHEMICAL CO., LTD.;Chemicals
NSC;NISSAN CHEMICAL CORP.;Chemicals
TOS;TOSOH CORP.;Chemicals
TBT;TOKUYAMA CORP.;Chemicals
DIK;DENKA CO., LTD.;Chemicals
4063N;SHIN-ETSU CHEMICAL CO., LTD.;Chemicals
KYKOY;KYOWA KIRIN CO., LTD.;Pharmaceuticals
MSI;MITSUI CHEMICALS, INC.;Chemicals
M3C0;MITSUBISHI CHEMICAL GROUP CORP.;Chemicals
UBE;UBE CORP.;Chemicals
DEN0;DENTSU GROUP INC.;Services
MRCIF;MERCARI, INC.;Services
KAO;KAO CORP.;Chemicals
TAK;TAKEDA PHARMACEUTICAL CO., LTD.;Pharmaceuticals
YPHA;ASTELLAS PHARMA INC.;Pharmaceuticals
DPM;SUMITOMO PHARMA CO., LTD.;Pharmaceuticals
SH0;SHIONOGI & CO., LTD.;Pharmaceuticals
4519N;CHUGAI PHARMACEUTICAL CO., LTD.;Pharmaceuticals
EIIA;EISAI CO., LTD.;Pharmaceuticals
TUO0;TERUMO CORP.;Precision Instruments
D4S;DAIICHI SANKYO CO., LTD.;Pharmaceuticals
OS1;OTSUKA HOLDINGS CO., LTD.;Pharmaceuticals
DPN;DIC CORP.;Chemicals
OLCLF;ORIENTAL LAND CO., LTD.;Services
YOJ0;LY CORP.;Services
TMI;TREND MICRO INC.;Services
CL2;CYBERAGENT, INC.;Services
RAKA;RAKUTEN GROUP, INC.;Services
FJI;FUJIFILM HOLDINGS CORP.;Chemicals
KNCAY;KONICA MINOLTA, INC.;Precision Instruments
SHD;SHISEIDO CO., LTD.;Chemicals
I7B0;IDEMITSU KOSAN CO., LTD.;Petroleum
JHJ;ENEOS HOLDINGS, INC.;Petroleum
YRB;THE YOKOHAMA RUBBER CO., LTD.;Rubber
BGTA;BRIDGESTONE CORP.;Rubber
AGC;AGC INC.;Glass & Ceramics
NPPEY;NIPPON ELECTRIC GLASS CO., LTD.;Glass & Ceramics
TIE;TAIHEIYO CEMENT CORP.;Glass & Ceramics
TKCBF;TOKAI CARBON CO., LTD.;Glass & Ceramics
TOTO;TOTO LTD.;Glass & Ceramics
NGI;NGK INSULATORS, LTD.;Glass & Ceramics
NPSA;NIPPON STEEL CORP.;Steel
KST;KOBE STEEL, LTD.;Steel
JFR;JFE HOLDINGS, INC.;Steel
JG;THE JAPAN STEEL WORKS, LTD.;Machinery
8031N;MITSUI MINING & SMELTING CO.;Nonferrous Metals
MUJ;MITSUBISHI MATERIALS CORP.;Nonferrous Metals
S19;SUMITOMO METAL MINING CO., LTD.;Nonferrous Metals
DMI;DOWA HOLDINGS CO., LTD.;Nonferrous Metals
FUWAF;FURUKAWA ELECTRIC CO., LTD.;Nonferrous Metals
SUMB;SUMITOMO ELECTRIC IND., LTD.;Nonferrous Metals
FJK;FUJIKURA LTD.;Nonferrous Metals
P2U;SHIZUOKA FINANCIAL GROUP, INC.;Banking
1RHA;RECRUIT HOLDINGS CO., LTD.;Services
OKUMF;OKUMA CORP.;Machinery
AA2;AMADA CO., LTD.;Machinery
DISPF;DISCO CORP.;Precision Instruments
JPHLF;JAPAN POST HOLDINGS CO., LTD.;Services
SMGBF;SMC CORP.;Machinery
KOM1;KOMATSU LTD.;Machinery
SUMICHEM;SUMITOMO HEAVY IND., LTD.;Machinery
HCMA;HITACHI CONST. MACH. CO., LTD.;Machinery
KUO1;KUBOTA CORP.;Machinery
EAR;EBARA CORP.;Machinery
DKIA;DAIKIN INDUSTRIES, LTD.;Machinery
NSK;NSK LTD.;Machinery
NTN;NTN CORP.;Machinery
6JK;JTEKT CORP.;Machinery
MEA0;MINEBEA MITSUMI INC.;Electric Machinery
HTHIY;HITACHI, LTD.;Electric Machinery
MIELY;MITSUBISHI ELECTRIC CORP.;Electric Machinery
FELTF;FUJI ELECTRIC CO., LTD.;Electric Machinery
YASKYN;YASKAWA ELECTRIC CORP.;Electric Machinery
SOCNF;SOCIONEXT INC.;Electric Machinery
NIB;NIDEC CORP.;Electric Machinery
OMRNN;OMRON CORP.;Electric Machinery
G9Y;GS YUASA CORP.;Electric Machinery
NEC;NEC CORP.;Electric Machinery
FUJ1;FUJITSU LTD.;Electric Machinery
